,지역,구,제목,사업체명,교육업체,사업유형,계획인원,참여인원,기간,접수여부
596,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, 의료법인리드의료재단 다정한요양병원,김해노인일자리창출지원센터,현장실습훈련 지원,8,0,2025-02-18 ~ 2025-04-30,접수중
597,경상남도,김해시,제조업(식육가공포장처리업) (인턴)일반형 3명, 주식회사 가나유통,주식회사 경남취업지원센터 김해지사,현장실습훈련 지원,3,0,2025-01-14 ~ 2025-12-01,접수중
598,경상남도,김해시,제조업(조선기자재) 일반형 1명, 세창앰앤이주식회사,주식회사 경남취업지원센터 김해지사,현장실습훈련 지원,1,0,2025-01-22 ~ 2025-12-31,접수중
599,경상남도,김해시,제조업(자동차 차체 부품) 일반형 10명, 제이에이텍주식회사,주식회사 경남취업지원센터 김해지사,현장실습훈련 지원,10,0,2025-02-26 ~ 2025-12-31,접수중
600,경상남도,김해시,보건업(한방병원) 일반형 5명, 당당한방병원 김해점,주식회사 경남취업지원센터 김해지사,현장실습훈련 지원,5,0,2025-03-24 ~ 2025-12-31,접수중
601,경상남도,김해시,제조(합성수지) 일반형 1명, 풍원공업주식회사,주식회사 경남취업지원센터 김해지사,현장실습훈련 지원,1,0,2025-04-11 ~ 2025-12-31,접수중
602,경상남도,김해시,제조업(자동차 차체 부품) 일반형 10명, 정아정밀(주)김해공장,주식회사 경남취업지원센터 김해지사,현장실습훈련 지원,10,0,2025-02-26 ~ 2025-12-31,접수중
603,경상남도,김해시,제조업(자동차 차체 부품) 일반형 10명, 정아정밀(주),주식회사 경남취업지원센터 김해지사,현장실습훈련 지원,10,0,2025-02-26 ~ 2025-12-31,접수중
604,경상남도,김해시,제조업(펠트 및 부직포) 일반형 3명, 주식회사 네오스텍,주식회사 경남취업지원센터 김해지사,현장실습훈련 지원,3,0,2025-03-17 ~ 2025-12-31,접수중
605,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, 주식회사 지원에스앤피,김해노인일자리창출지원센터,현장실습훈련 지원,2,0,2025-01-01 ~ 2025-12-31,접수중
606,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, 주식회사 석지환경개발,김해노인일자리창출지원센터,현장실습훈련 지원,2,0,2025-04-02 ~ 2025-12-31,접수중
607,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, 부광고철,김해노인일자리창출지원센터,현장실습훈련 지원,2,0,2025-04-02 ~ 2025-12-31,접수중
608,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, 주식회사미래로 지점,김해노인일자리창출지원센터,현장실습훈련 지원,2,0,2025-03-07 ~ 2025-05-31,접수중
609,경상남도,김해시,현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용 현장실습 훈련 지원사업(3개월) 단기근로자로 채용 후 계속고용(18개월)예정, 대창기공주식회사,김해노인일자리창출지원센터,현장실습훈련 지원,3,0,2025-03-13 ~ 2025-12-31,접수중
