기관명,특별시도,주소,위도,경도,지역
(주)잡모아 관악지점,서울특별시,서울특별시 관악구 남부순환로 1797(봉천동),37.481884900000,126.949926800000,서울특별시 관악구
사단법인 한국고용협회,서울특별시,서울특별시 관악구 봉천로 227(봉천동) -,37.490027600000,126.927105600000,서울특별시 관악구
사회적협동조합내일로 서울지점,서울특별시,서울특별시 관악구 남부순환로 1630(신림동) 시양빌딩 501호,37.484229900000,126.931777100000,서울특별시 관악구
사회적협동조합내일로 서울지점,서울특별시,서울특별시 관악구 남부순환로 1630(신림동),37.484229900000,126.931777100000,서울특별시 관악구
(주)스카우트 동부지사,서울특별시,서울특별시 광진구 동일로 116(화양동),37.535823530000,127.060609200000,서울특별시 광진구
(주)유니에스 동부센터,서울특별시,서울특별시 광진구 능동로 275(군자동),37.554619600000,127.077704100000,서울특별시 광진구
서울관악고용센터,서울특별시,서울특별시 구로구 디지털로34길 27(구로동) 2-3층,37.485015420000,126.897868500000,서울특별시 구로구
(주)지에스씨넷 서울구로지점,서울특별시,서울특별시 구로구 디지털로 285(구로동),37.484486991118,126.894506052909,서울특별시 구로구
국제커리어센터 서울관악지점,서울특별시,서울특별시 구로구 디지털로33길 11(구로동) -,37.485675200000,126.895480500000,서울특별시 구로구
사단법인 한국취업능력개발원,서울특별시,서울특별시 구로구 디지털로33길 27(구로동) 305호,37.486560100000,126.894715200000,서울특별시 구로구
스탭스(주) 구로센터,서울특별시,서울특별시 구로구 디지털로30길 31(구로동) 302호,37.482565050000,126.895890000000,서울특별시 구로구
케이잡스 관악지사,서울특별시,서울특별시 구로구 개봉로23가길 70(개봉동) 2층,37.494827644499,126.859818382428,서울특별시 구로구
(사)한국직업지도진흥원 관악센터,서울특별시,서울특별시 금천구 가산디지털1로 168(가산동),37.478701250000,126.882333100000,서울특별시 금천구
서울북부고용센터,서울특별시,서울특별시 노원구 노해로 450(상계동) 해청빌딩,37.654327160000,127.061910100000,서울특별시 노원구
노원사회적경제협의회,서울특별시,서울특별시 노원구 동일로 1379(상계동),37.689107000000,127.055338500000,서울특별시 노원구
노원여성인력개발센터,서울특별시,서울특별시 노원구 공릉로 187(공릉동),37.626405000000,127.079093100000,서울특별시 노원구
사단법인 한국고용복지센터(서울북부점),서울특별시,서울특별시 노원구 동일로192길 20(공릉동),37.626216320000,127.074497500000,서울특별시 노원구
사단법인한국직업지도진흥원노원센터,서울특별시,서울특별시 노원구 동일로218길 17(상계동),37.653796440000,127.062124600000,서울특별시 노원구
